Stadiums: Stadium name, City id, Team name, capacity
BBVA Stadium1, 12, Dynamo1, 22039
BBVA Stadium2, 13, Dynamo2, 22040
BBVA Stadium3, 14, Dynamo3, 22041
BBVA Stadium4, 15, Dynamo4, 22042
BBVA Stadium5, 16, Dynamo5, 22043
BBVA Stadium6, 17, Dynamo6, 22044
BBVA Stadium7, 18, Dynamo7, 22045
BBVA Stadium8, 19, Dynamo8, 22046
BBVA Stadium9, 20, Dynamo9, 22047
BBVA Stadium10, 21, Dynamo10, 22048
BBVA Stadium11, 22, Dynamo11, 22049
BBVA Stadium12, 23, Dynamo12, 22050
BBVA Stadium13, 24, Dynamo13, 22051
BBVA Stadium14, 25, Dynamo14, 22052
BBVA Stadium15, 26, Dynamo15, 22053
BBVA Stadium16, 27, Dynamo16, 22054
BBVA Stadium17, 28, Dynamo17, 22055
BBVA Stadium18, 29, Dynamo18, 22056
BBVA Stadium19, 30, Dynamo19, 22057
BBVA Stadium20, 31, Dynamo20, 22058
BBVA Stadium21, 32, Dynamo21, 22059
BBVA Stadium22, 33, Dynamo22, 22060
BBVA Stadium23, 34, Dynamo23, 22061
BBVA Stadium24, 35, Dynamo24, 22062
BBVA Stadium25, 36, Dynamo25, 22063
BBVA Stadium26, 37, Dynamo26, 22064
BBVA Stadium27, 38, Dynamo27, 22065
BBVA Stadium28, 39, Dynamo28, 22066
BBVA Stadium29, 40, Dynamo29, 22067
BBVA Stadium30, 41, Dynamo30, 22068
BBVA Stadium31, 42, Dynamo31, 22069
BBVA Stadium32, 43, Dynamo32, 22070
BBVA Stadium33, 44, Dynamo33, 22071
BBVA Stadium34, 45, Dynamo34, 22072
BBVA Stadium35, 46, Dynamo35, 22073
BBVA Stadium36, 47, Dynamo36, 22074
BBVA Stadium37, 48, Dynamo37, 22075
BBVA Stadium38, 49, Dynamo38, 22076
BBVA Stadium39, 50, Dynamo39, 22077
BBVA Stadium40, 51, Dynamo40, 22078
BBVA Stadium41, 52, Dynamo41, 22079
BBVA Stadium42, 53, Dynamo42, 22080
BBVA Stadium43, 54, Dynamo43, 22081
BBVA Stadium44, 55, Dynamo44, 22082
BBVA Stadium45, 56, Dynamo45, 22083
BBVA Stadium46, 57, Dynamo46, 22084
BBVA Stadium47, 58, Dynamo47, 22085
BBVA Stadium48, 59, Dynamo48, 22086
BBVA Stadium49, 60, Dynamo49, 22087
BBVA Stadium50, 61, Dynamo50, 22088
BBVA Stadium51, 62, Dynamo51, 22089
BBVA Stadium52, 63, Dynamo52, 22090
BBVA Stadium53, 64, Dynamo53, 22091
BBVA Stadium54, 65, Dynamo54, 22092
BBVA Stadium55, 66, Dynamo55, 22093
BBVA Stadium56, 67, Dynamo56, 22094
BBVA Stadium57, 68, Dynamo57, 22095
BBVA Stadium58, 69, Dynamo58, 22096
BBVA Stadium59, 70, Dynamo59, 22097
BBVA Stadium60, 71, Dynamo60, 22098
BBVA Stadium61, 72, Dynamo61, 22099
BBVA Stadium62, 73, Dynamo62, 22100
BBVA Stadium63, 74, Dynamo63, 22101
BBVA Stadium64, 75, Dynamo64, 22102
BBVA Stadium65, 76, Dynamo65, 22103
BBVA Stadium66, 77, Dynamo66, 22104
BBVA Stadium67, 78, Dynamo67, 22105
BBVA Stadium68, 79, Dynamo68, 22106
BBVA Stadium69, 80, Dynamo69, 22107
BBVA Stadium70, 81, Dynamo70, 22108
BBVA Stadium71, 82, Dynamo71, 22109
BBVA Stadium72, 83, Dynamo72, 22110
BBVA Stadium73, 84, Dynamo73, 22111
BBVA Stadium74, 85, Dynamo74, 22112
BBVA Stadium75, 86, Dynamo75, 22113
BBVA Stadium76, 87, Dynamo76, 22114
BBVA Stadium77, 88, Dynamo77, 22115
BBVA Stadium78, 89, Dynamo78, 22116
BBVA Stadium79, 90, Dynamo79, 22117
BBVA Stadium80, 91, Dynamo80, 22118
BBVA Stadium81, 92, Dynamo81, 22119
BBVA Stadium82, 93, Dynamo82, 22120
BBVA Stadium83, 94, Dynamo83, 22121
BBVA Stadium84, 95, Dynamo84, 22122
BBVA Stadium85, 96, Dynamo85, 22123
BBVA Stadium86, 97, Dynamo86, 22124
BBVA Stadium87, 98, Dynamo87, 22125
BBVA Stadium88, 99, Dynamo88, 22126
BBVA Stadium89, 100, Dynamo89, 22127
BBVA Stadium90, 101, Dynamo90, 22128
BBVA Stadium91, 102, Dynamo91, 22129
BBVA Stadium92, 103, Dynamo92, 22130
BBVA Stadium93, 104, Dynamo93, 22131
BBVA Stadium94, 105, Dynamo94, 22132
BBVA Stadium95, 106, Dynamo95, 22133
BBVA Stadium96, 107, Dynamo96, 22134
BBVA Stadium97, 108, Dynamo97, 22135
BBVA Stadium98, 109, Dynamo98, 22136
BBVA Stadium99, 110, Dynamo99, 22137
BBVA Stadium100, 111, Dynamo100, 22138
BBVA Stadium101, 112, Dynamo101, 22139
