My Cities: City, city id, population in millions		
Seattle1, 1, 0.77
Seattle2, 2, 1.77
Seattle3, 3, 2.77
Seattle4, 4, 3.77
Seattle5, 5, 4.77
Seattle6, 6, 5.77
Seattle7, 7, 6.77
Seattle8, 8, 7.77
Seattle9, 9, 8.77
Seattle10, 10, 9.77
Seattle11, 11, 10.77
Seattle12, 12, 11.77
Seattle13, 13, 12.77
Seattle14, 14, 13.77
Seattle15, 15, 14.77
Seattle16, 16, 15.77
Seattle17, 17, 16.77
Seattle18, 18, 17.77
Seattle19, 19, 18.77
Seattle20, 20, 19.77
Seattle21, 21, 20.77
Seattle22, 22, 21.77
Seattle23, 23, 22.77
Seattle24, 24, 23.77
Seattle25, 25, 24.77
Seattle26, 26, 25.77
Seattle27, 27, 26.77
Seattle28, 28, 27.77
Seattle29, 29, 28.77
Seattle30, 30, 29.77
Seattle31, 31, 30.77
Seattle32, 32, 31.77
Seattle33, 33, 32.77
Seattle34, 34, 33.77
Seattle35, 35, 34.77
Seattle36, 36, 35.77
Seattle37, 37, 36.77
Seattle38, 38, 37.77
Seattle39, 39, 38.77
Seattle40, 40, 39.77
Seattle41, 41, 40.77
Seattle42, 42, 41.77
Seattle43, 43, 42.77
Seattle44, 44, 43.77
Seattle45, 45, 44.77
Seattle46, 46, 45.77
Seattle47, 47, 46.77
Seattle48, 48, 47.77
Seattle49, 49, 48.77
Seattle50, 50, 49.77
Seattle51, 51, 50.77
Seattle52, 52, 51.77
Seattle53, 53, 52.77
Seattle54, 54, 53.77
Seattle55, 55, 54.77
Seattle56, 56, 55.77
Seattle57, 57, 56.77
Seattle58, 58, 57.77
Seattle59, 59, 58.77
Seattle60, 60, 59.77
Seattle61, 61, 60.77
Seattle62, 62, 61.77
Seattle63, 63, 62.77
Seattle64, 64, 63.77
Seattle65, 65, 64.77
Seattle66, 66, 65.77
Seattle67, 67, 66.77
Seattle68, 68, 67.77
Seattle69, 69, 68.77
Seattle70, 70, 69.77
Seattle71, 71, 70.77
Seattle72, 72, 71.77
Seattle73, 73, 72.77
Seattle74, 74, 73.77
Seattle75, 75, 74.77
Seattle76, 76, 75.77
Seattle77, 77, 76.77
Seattle78, 78, 77.77
Seattle79, 79, 78.77
Seattle80, 80, 79.77
Seattle81, 81, 80.77
Seattle82, 82, 81.77
Seattle83, 83, 82.77
Seattle84, 84, 83.77
Seattle85, 85, 84.77
Seattle86, 86, 85.77
Seattle87, 87, 86.77
Seattle88, 88, 87.77
Seattle89, 89, 88.77
Seattle90, 90, 89.77
Seattle91, 91, 90.77
Seattle92, 92, 91.77
Seattle93, 93, 92.77
Seattle94, 94, 93.77
Seattle95, 95, 94.77
Seattle96, 96, 95.77
Seattle97, 97, 96.77
Seattle98, 98, 97.77
Seattle99, 99, 98.77
Seattle100, 100, 99.77
